企业ID,信用等级
4193,正常
3136,正常
3426,正常
1250,正常
9096,异常
8487,异常
585,正常
4895,正常
3243,正常
3180,正常
3919,正常
9478,异常
4031,正常
6447,正常
6649,正常
1169,正常
5066,正常
8159,异常
6585,正常
2891,正常
8841,异常
2703,正常
2446,正常
5306,正常
24,正常
4999,正常
8027,异常
2109,正常
3669,正常
8773,异常
9294,异常
8067,异常
7751,异常
3667,正常
2094,正常
2806,正常
2286,正常
7972,异常
9747,异常
7991,异常
2168,正常
363,正常
7319,异常
1055,正常
4114,正常
4030,正常
8253,异常
2784,正常
1640,正常
4711,正常
8790,异常
3153,正常
4022,正常
2603,正常
8206,异常
1953,正常
8709,异常
6601,正常
1652,正常
8294,异常
3492,正常
7093,异常
9838,异常
6003,正常
2192,正常
3395,正常
1795,正常
3762,正常
457,正常
1590,正常
3168,正常
8820,异常
3299,正常
8339,异常
6451,正常
7296,异常
3064,正常
2438,正常
8026,异常
2753,正常
9069,异常
5333,正常
8258,异常
1117,正常
8886,异常
22,正常
7655,异常
7531,异常
7165,异常
7954,异常
3323,正常
9818,异常
1916,正常
9723,异常
9725,异常
3528,正常
8494,异常
8123,异常
3303,正常
385,正常
824,正常
8912,异常
6791,正常
7769,异常
164,正常
630,正常
8986,异常
217,正常
6104,正常
6559,正常
8982,异常
6960,正常
6411,正常
8978,异常
10000,异常
5875,正常
8395,异常
7740,异常
8454,异常
1746,正常
5419,正常
3519,正常
9813,异常
9554,异常
1221,正常
2261,正常
4223,正常
1954,正常
8633,异常
9093,异常
3089,正常
733,正常
976,正常
4894,正常
2816,正常
9815,异常
3335,正常
8967,异常
8110,异常
1243,正常
421,正常
9250,异常
1160,正常
3314,正常
6067,正常
6322,正常
1338,正常
8717,异常
9161,异常
6734,正常
3245,正常
5580,正常
6595,正常
6940,正常
8099,异常
6487,正常
744,正常
2397,正常
5103,正常
5501,正常
4469,正常
7884,异常
894,正常
8055,异常
1191,正常
1786,正常
289,正常
500,正常
9551,异常
4243,正常
6658,正常
2239,正常
4684,正常
9605,异常
1260,正常
4906,正常
4458,正常
4040,正常
961,正常
6931,正常
236,正常
8603,异常
4633,正常
7455,异常
2899,正常
2998,正常
2912,正常
3586,正常
763,正常
7645,异常
8623,异常
2238,正常
9497,异常
339,正常
7295,异常
1654,正常
7458,异常
8816,异常
4094,正常
514,正常
8501,异常
6179,正常
3833,正常
1360,正常
8518,异常
5253,正常
9210,异常
9123,异常
9659,异常
6728,正常
8657,异常
6503,正常
5684,正常
210,正常
9796,异常
8739,异常
6404,正常
8874,异常
6480,正常
1314,正常
7869,异常
6716,正常
4187,正常
4398,正常
5477,正常
287,正常
3242,正常
3799,正常
6062,正常
4687,正常
6361,正常
8153,异常
1897,正常
9948,异常
3012,正常
9742,异常
2885,正常
3991,正常
5793,正常
486,正常
3719,正常
9127,异常
7310,异常
1214,正常
2389,正常
9061,异常
1817,正常
5705,正常
2966,正常
6393,正常
9473,异常
8608,异常
5608,正常
6243,正常
3203,正常
8167,异常
6700,正常
1329,正常
1612,正常
1975,正常
3927,正常
3651,正常
4474,正常
9685,异常
5481,正常
6285,正常
4168,正常
5023,正常
1816,正常
9167,异常
4731,正常
3660,正常
675,正常
2169,正常
8521,异常
1576,正常
4431,正常
5232,正常
1387,正常
1337,正常
6574,正常
7213,异常
8199,异常
321,正常
3535,正常
9036,异常
1238,正常
8565,异常
2580,正常
2778,正常
4812,正常
2009,正常
4120,正常
6445,正常
7490,异常
2771,正常
9546,异常
4357,正常
9130,异常
7380,异常
2503,正常
4112,正常
4337,正常
501,正常
2485,正常
8007,异常
4442,正常
647,正常
7370,异常
8315,异常
6029,正常
7364,异常
2861,正常
7581,异常
2535,正常
1774,正常
9759,异常
5601,正常
6158,正常
8809,异常
1119,正常
8828,异常
4425,正常
2907,正常
9066,异常
8740,异常
7087,异常
7045,异常
1775,正常
8351,异常
1745,正常
3846,正常
9435,异常
4264,正常
5809,正常
2471,正常
3912,正常
8194,异常
7836,异常
6169,正常
3823,正常
6256,正常
9596,异常
5440,正常
2465,正常
7478,异常
2843,正常
7859,异常
9529,异常
8690,异常
952,正常
4786,正常
7895,异常
3948,正常
7483,异常
5404,正常
7498,异常
6738,正常
118,正常
4308,正常
1022,正常
9592,异常
7566,异常
8822,异常
8971,异常
1437,正常
8639,异常
9166,异常
7250,异常
4869,正常
4939,正常
2546,正常
5340,正常
7559,异常
9689,异常
9308,异常
6130,正常
7875,异常
84,正常
4240,正常
8904,异常
2147,正常
3404,正常
1693,正常
939,正常
415,正常
9314,异常
396,正常
403,正常
3962,正常
8929,异常
2133,正常
4300,正常
6382,正常
5650,正常
1259,正常
8962,异常
4417,正常
9017,异常
4568,正常
3767,正常
7739,异常
9344,异常
2675,正常
2118,正常
2453,正常
2976,正常
8250,异常
1061,正常
2357,正常
4508,正常
8651,异常
5743,正常
4719,正常
9144,异常
2871,正常
1867,正常
7609,异常
2072,正常
7712,异常
5690,正常
7724,异常
4713,正常
2763,正常
1339,正常
1871,正常
634,正常
743,正常
3448,正常
9895,异常
6132,正常
4049,正常
4058,正常
2654,正常
1209,正常
8000,异常
2018,正常
9106,异常
2278,正常
4878,正常
8965,异常
5276,正常
5858,正常
103,正常
4482,正常
7089,异常
2287,正常
437,正常
2814,正常
404,正常
9848,异常
3118,正常
9541,异常
7201,异常
9565,异常
228,正常
9897,异常
5581,正常
2000,正常
4663,正常
2589,正常
2371,正常
3083,正常
1031,正常
6651,正常
4345,正常
6262,正常
445,正常
8746,异常
1424,正常
2413,正常
5138,正常
3959,正常
9969,异常
842,正常
7109,异常
2352,正常
8640,异常
9708,异常
3102,正常
2504,正常
9976,异常
4537,正常
4580,正常
3416,正常
7758,异常
9922,异常
2035,正常
4995,正常
1952,正常
8945,异常
5745,正常
1464,正常
1383,正常
32,正常
2297,正常
7618,异常
5716,正常
7931,异常
1497,正常
2915,正常
2597,正常
2674,正常
2656,正常
7219,异常
9468,异常
782,正常
3764,正常
7006,异常
7695,异常
6549,正常
1019,正常
6042,正常
7910,异常
2593,正常
8845,异常
3482,正常
3882,正常
6906,正常
1577,正常
5744,正常
1304,正常
9432,异常
5096,正常
4145,正常
3052,正常
5473,正常
9612,异常
7297,异常
4607,正常
6747,正常
4162,正常
7491,异常
5990,正常
5219,正常
7537,异常
3621,正常
6712,正常
6128,正常
7668,异常
6408,正常
2274,正常
815,正常
1892,正常
9029,异常
5781,正常
9369,异常
9581,异常
1625,正常
2225,正常
9331,异常
8402,异常
292,正常
7733,异常
4782,正常
6618,正常
7933,异常
4175,正常
2303,正常
3792,正常
8516,异常
1496,正常
1802,正常
3529,正常
1776,正常
821,正常
7640,异常
4547,正常
687,正常
5468,正常
6510,正常
261,正常
7710,异常
6874,正常
1442,正常
5376,正常
8318,异常
1968,正常
1584,正常
2099,正常
5273,正常
4117,正常
819,正常
1528,正常
1331,正常
8269,异常
1705,正常
7912,异常
1050,正常
3046,正常
2793,正常
4446,正常
2633,正常
7553,异常
252,正常
8278,异常
1279,正常
1044,正常
861,正常
8601,异常
3870,正常
5801,正常
3668,正常
6586,正常
9577,异常
5073,正常
8354,异常
2248,正常
3687,正常
648,正常
3853,正常
4455,正常
9213,异常
1367,正常
6174,正常
2081,正常
5033,正常
2220,正常
1701,正常
9027,异常
5653,正常
7209,异常
3968,正常
9112,异常
4693,正常
6154,正常
1371,正常
3661,正常
8283,异常
267,正常
6895,正常
7146,异常
69,正常
1182,正常
5864,正常
726,正常
9698,异常
7223,异常
962,正常
7268,异常
7915,异常
76,正常
5518,正常
3887,正常
3802,正常
3999,正常
7827,异常
9882,异常
2630,正常
2117,正常
9798,异常
6374,正常
3665,正常
1024,正常
1015,正常
9801,异常
3695,正常
3469,正常
3778,正常
1429,正常
3914,正常
9275,异常
1173,正常
8877,异常
9593,异常
2086,正常
6927,正常
1526,正常
4351,正常
9186,异常
833,正常
1328,正常
793,正常
7671,异常
3653,正常
2142,正常
8793,异常
7169,异常
9209,异常
5565,正常
1567,正常
4759,正常
5091,正常
1239,正常
2760,正常
8232,异常
755,正常
64,正常
5037,正常
3116,正常
4013,正常
5274,正常
554,正常
351,正常
828,正常
6536,正常
3357,正常
6918,正常
7185,异常
6401,正常
1471,正常
2189,正常
9487,异常
6690,正常
356,正常
7877,异常
3924,正常
1048,正常
5156,正常
9439,异常
9220,异常
8255,异常
2847,正常
8298,异常
9035,异常
1548,正常
722,正常
3524,正常
3099,正常
9878,异常
7405,异常
4372,正常
5641,正常
4651,正常
458,正常
5592,正常
7691,异常
835,正常
8996,异常
612,正常
2183,正常
5113,正常
4785,正常
8943,异常
323,正常
1689,正常
7206,异常
6946,正常
3994,正常
1176,正常
5628,正常
7136,异常
7473,异常
1672,正常
131,正常
742,正常
803,正常
5577,正常
8946,异常
3190,正常
2792,正常
7791,异常
3606,正常
5396,正常
6138,正常
8713,异常
7376,异常
4680,正常
6425,正常
6286,正常
2291,正常
9198,异常
9834,异常
7920,异常
8425,异常
946,正常
701,正常
8325,异常
6108,正常
9674,异常
8600,异常
3432,正常
1934,正常
4366,正常
1676,正常
6155,正常
774,正常
8812,异常
4748,正常
5470,正常
1210,正常
8252,异常
446,正常
1783,正常
5985,正常
7728,异常
2497,正常
9917,异常
9805,异常
9429,异常
4681,正常
8988,异常
3666,正常
2280,正常
6891,正常
7944,异常
7001,异常
775,正常
2129,正常
4755,正常
753,正常
1712,正常
7200,异常
7509,异常
2587,正常
9145,异常
9105,异常
3488,正常
4232,正常
3256,正常
1778,正常
9931,异常
7399,异常
3972,正常
2651,正常
6857,正常
7396,异常
8626,异常
4749,正常
4832,正常
9920,异常
511,正常
4866,正常
1713,正常
8533,异常
7512,异常
3801,正常
8511,异常
1669,正常
2686,正常
3113,正常
3901,正常
3644,正常
5624,正常
3825,正常
5881,正常
6099,正常
2344,正常
2010,正常
229,正常
1671,正常
1825,正常
8021,异常
8114,异常
167,正常
413,正常
5673,正常
6512,正常
5760,正常
6426,正常
3634,正常
4893,正常
7140,异常
2016,正常
5183,正常
3212,正常
7281,异常
3232,正常
4989,正常
7349,异常
7745,异常
9522,异常
773,正常
5530,正常
6892,正常
8770,异常
9142,异常
9340,异常
3885,正常
879,正常
9748,异常
4055,正常
7375,异常
2100,正常
6376,正常
4310,正常
7885,异常
8660,异常
1650,正常
5906,正常
9687,异常
3225,正常
9374,异常
8937,异常
3378,正常
4691,正常
7270,异常
3712,正常
3527,正常
6080,正常
5046,正常
1454,正常
6490,正常
6491,正常
6840,正常
5891,正常
397,正常
6277,正常
3246,正常
9918,异常
3509,正常
6063,正常
7977,异常
4850,正常
9214,异常
3966,正常
5797,正常
5056,正常
8321,异常
7824,异常
4820,正常
322,正常
3684,正常
8498,异常
2612,正常
8833,异常
8344,异常
6175,正常
2399,正常
4128,正常
6693,正常
2721,正常
9415,异常
7683,异常
3334,正常
6835,正常
3044,正常
905,正常
8362,异常
1053,正常
7583,异常
579,正常
706,正常
6365,正常
5585,正常
6420,正常
1925,正常
1685,正常
6724,正常
9207,异常
1116,正常
4496,正常
7711,异常
6744,正常
1556,正常
2040,正常
9984,异常
4485,正常
5796,正常
2845,正常
2729,正常
2767,正常
1294,正常
7544,异常
4682,正常
1465,正常
9974,异常
4997,正常
632,正常
4454,正常
2246,正常
8505,异常
3864,正常
7232,异常
6405,正常
6513,正常
362,正常
813,正常
7725,异常
6461,正常
9402,异常
1130,正常
506,正常
6167,正常
1036,正常
6045,正常
5352,正常
8016,异常
140,正常
3875,正常
1147,正常
3252,正常
5983,正常
6073,正常
4861,正常
1123,正常
9004,异常
3610,正常
5699,正常
4089,正常
7604,异常
2275,正常
1267,正常
5393,正常
2343,正常
7063,异常
4606,正常
6907,正常
2394,正常
1309,正常
4021,正常
8725,异常
4347,正常
8844,异常
1902,正常
8431,异常
2733,正常
9261,异常
1488,正常
8314,异常
7852,异常
1010,正常
5951,正常
1396,正常
6039,正常
5545,正常
7363,异常
1664,正常
1145,正常
1850,正常
829,正常
1753,正常
4071,正常
9258,异常
1469,正常
9323,异常
3075,正常
5857,正常
6926,正常
1052,正常
6808,正常
2537,正常
7314,异常
1668,正常
6856,正常
1001,正常
176,正常
1893,正常
6959,正常
5826,正常
7779,异常
9481,异常
297,正常
6544,正常
8627,异常
978,正常
3956,正常
3127,正常
764,正常
463,正常
5515,正常
1754,正常
9776,异常
5070,正常
912,正常
4998,正常
2001,正常
6993,正常
7135,异常
2755,正常
6395,正常
1837,正常
1516,正常
9118,异常
982,正常
1240,正常
1246,正常
40,正常
2791,正常
3020,正常
4840,正常
8222,异常
5489,正常
1236,正常
2647,正常
536,正常
5177,正常
7730,异常
5774,正常
3223,正常
8862,异常
4167,正常
9571,异常
8348,异常
9578,异常
4667,正常
8853,异常
1149,正常
6899,正常
5285,正常
948,正常
8930,异常
9129,异常
1082,正常
2629,正常
8758,异常
7292,异常
8310,异常
6966,正常
7890,异常
5652,正常
7986,异常
8393,异常
6216,正常
5637,正常
5456,正常
8554,异常
7374,异常
8022,异常
8539,异常
678,正常
4368,正常
3705,正常
2802,正常
1449,正常
6750,正常
6786,正常
7480,异常
549,正常
4528,正常
2910,正常
4550,正常
4137,正常
3465,正常
3556,正常
8779,异常
2079,正常
3811,正常
3071,正常
5123,正常
1889,正常
9963,异常
8095,异常
3913,正常
6978,正常
629,正常
3336,正常
102,正常
1931,正常
1241,正常
358,正常
884,正常
5155,正常
8197,异常
149,正常
9169,异常
888,正常
9803,异常
8108,异常
386,正常
5765,正常
5770,正常
380,正常
1483,正常
123,正常
6306,正常
2564,正常
2412,正常
4036,正常
200,正常
6670,正常
3627,正常
2266,正常
9746,异常
7049,异常
5225,正常
3560,正常
3481,正常
100,正常
502,正常
450,正常
5256,正常
5382,正常
4271,正常
7816,异常
5997,正常
9749,异常
8260,异常
9602,异常
312,正常
2997,正常
4645,正常
7119,异常
281,正常
8693,异常
4951,正常
2171,正常
7377,异常
6701,正常
2460,正常
8224,异常
3715,正常
9335,异常
7989,异常
4319,正常
2145,正常
4174,正常
6226,正常
4467,正常
